TYPE,AMOUNT,SALE,PRODUCT DETAILS,EYECHECK,CASHIER,EDGING,DISPENSING
SALE,3200,ANNA,"LENS 1.67 ASP, FRAME AVIATOR",CARL,ANNA,DEE,DEE
SALE,1800,BOB,FRAME ONLY CLASSIC,CARL,BOB,-,DEE
SALE,4500,ANNA,"RX PROGRESSIVE, FRAME METAL",DEE,ANNA,CARL,-
VOID,-1200,BOB,FRAME RETURN,-,-,-,-
SALE,950,,SUNGLASSES POLARIZED,-,DEE,-,BOB
SALE,2600,BOB,"GOLD COATING LENS, FRAME TITAN",CARL,BOB,DEE,CARL
SALE,1500,ANNA,CONTACT LENS CASE,-,ANNA,-,-
SALE,3000,BOB,"1.74 THIN LENS, FRAME RIMLESS",DEE,BOB,CARL,DEE
SALE,700,,FRAME REPAIR SERVICE,-,-,-,-
SALE,2100,ANNA,"MIRROR COATING, TS COATING, FRAME SPORT",CARL,ANNA,DEE,BOB
